Property type,Bedroom,Bathroom,Furnished Status,Carpet Area,Construction Status,Floor No,SquareFeet,Facing,Car Parking,Total Price (INR),Address,BHK
Builder Floors,3,2,Semi-Furnished,675,Ready to Move,8,700,North-West,1,"₹ 40,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 700 ft2
Builder Floors,2,2,Semi-Furnished,450,Ready to Move,4,517,-,-,"₹ 28,00,000","Tilak Nagar, Delhi, Delhi",2 Bds - 2 Ba - 517 ft2
Builder Floors,1,1,Semi-Furnished,455,Ready to Move,4,455,North-East,0,"₹ 53,00,000","Pitampura, Delhi, Delhi",1 Bds - 1 Ba - 455 ft2
Builder Floors,3,3,Semi-Furnished,900,Ready to Move,4,1000,East,1,"₹ 56,75,000","Budh Vihar, Delhi, Delhi",3 Bds - 3 Ba - 1000 ft2
Builder Floors,2,2,Semi-Furnished,530,Ready to Move,4,550,South-East,0,"₹ 24,00,000","Gopal Vihar, Delhi, Delhi",2 Bds - 2 Ba - 550 ft2
Builder Floors,2,2,Semi-Furnished,700,Ready to Move,4,770,West,0,"₹ 29,00,000","Hastsal, Delhi, Delhi",2 Bds - 2 Ba - 770 ft2
Builder Floors,2,2,Semi-Furnished,640,Ready to Move,3,670,North-East,1,"₹ 45,00,000","Hari Nagar, Delhi, Delhi",2 Bds - 2 Ba - 670 ft2
Builder Floors,3,2,Semi-Furnished,880,Ready to Move,4,900,East,1,"₹ 40,00,000","Dwarka Mor, Delhi, Delhi",3 Bds - 2 Ba - 900 ft2
Builder Floors,1,1,Furnished,450,Ready to Move,4,450,West,0,"₹ 7,50,000","Tagore Garden, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,3,3,Semi-Furnished,1150,Ready to Move,4,1215,South-East,1,"₹ 1,45,00,000","Raja Garden, Delhi, Delhi",3 Bds - 3 Ba - 1215 ft2
Houses & Villas,2,2,Unfurnished,540,Ready to Move,2,540,North-East,1,"₹ 36,00,000","Uday Vihar, Delhi, Delhi",2 Bds - 2 Ba - 540 ft2
Apartments,1,1,Semi-Furnished,550,Ready to Move,4,600,North-East,1,"₹ 34,00,000","Vikaspuri, Delhi, Delhi",1 Bds - 1 Ba - 600 ft2
Apartments,1,2,Semi-Furnished,500,Ready to Move,4,500,North-East,1,"₹ 35,00,000","Rohini Sector 2, Delhi, Delhi",1 Bds - 2 Ba - 500 ft2
Builder Floors,2,2,Semi-Furnished,450,Ready to Move,4,495,-,-,"₹ 21,50,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 495 ft2
Builder Floors,1,1,Semi-Furnished,25,Ready to Move,4,25,North-West,0,"₹ 6,50,000","Vikaspuri, Delhi, Delhi",1 Bds - 1 Ba - 25 ft2
Apartments,3,2,Semi-Furnished,870,Ready to Move,4,950,North-East,1,"₹ 32,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 950 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,750,North-East,1,"₹ 75,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 750 ft2
Builder Floors,1,1,Semi-Furnished,30,Ready to Move,4,25,North-West,0,"₹ 6,50,000","Vikaspuri, Delhi, Delhi",1 Bds - 1 Ba - 25 ft2
Builder Floors,2,2,Furnished,550,Ready to Move,4,580,North-East,1,"₹ 25,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 580 ft2
Apartments,2,1,Semi-Furnished,450,Ready to Move,3,450,North,0,"₹ 17,00,000","Krishan Vihar, Delhi, Delhi",2 Bds - 1 Ba - 450 ft2
Apartments,2,1,Furnished,400,New Launch,2,350,West,0,"₹ 4,00,000","Raja Garden, Delhi, Delhi",2 Bds - 1 Ba - 350 ft2
Builder Floors,3,3,Semi-Furnished,750,Ready to Move,4,800,West,1,"₹ 45,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 3 Ba - 800 ft2
Houses & Villas,4,4+,Semi-Furnished,360,Ready to Move,4,360,East,0,"₹ 48,50,000","Kanwar Singh Nagar, Delhi, Delhi",4 Bds - 4+ Ba - 360 ft2
Apartments,4,2,Semi-Furnished,522,Ready to Move,2,60,West,1,"₹ 42,00,000","Nangloi, Delhi, Delhi",4 Bds - 2 Ba - 60 ft2
Houses & Villas,2,2,Unfurnished,5,Ready to Move,1,5,East,1,"₹ 73,00,000","Paschim Vihar, Delhi, Delhi",2 Bds - 2 Ba - 5 ft2
Builder Floors,2,1,Unfurnished,899,Ready to Move,2,900,North,1,"₹ 44,00,000","Vishnu Garden, Delhi, Delhi",2 Bds - 1 Ba - 900 ft2
Builder Floors,2,2,Semi-Furnished,900,Ready to Move,4,1000,West,1,"₹ 1,30,00,000","Ramesh Nagar, Delhi, Delhi",2 Bds - 2 Ba - 1000 ft2
Builder Floors,2,2,Furnished,600,Ready to Move,3,600,-,1,"₹ 55,00,000","Virendra Nagar, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Houses & Villas,3,2,Semi-Furnished,30,Ready to Move,3,30,North,0,"₹ 25,00,000","Nihal Vihar, Delhi, Delhi",3 Bds - 2 Ba - 30 ft2
Builder Floors,2,2,Semi-Furnished,640,Ready to Move,4,650,North,0,"₹ 25,50,000","Vikaspuri, Delhi, Delhi",2 Bds - 2 Ba - 650 ft2
Builder Floors,3,2,Semi-Furnished,900,-,4,990,-,1,"₹ 65,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 990 ft2
Builder Floors,3,3,Semi-Furnished,1050,Ready to Move,4,1200,North-East,1,"₹ 1,00,00,000","Ramesh Nagar, Delhi, Delhi",3 Bds - 3 Ba - 1200 ft2
Builder Floors,1,1,Semi-Furnished,420,Ready to Move,4,450,East,1,"₹ 17,00,000","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,2,2,Semi-Furnished,800,Ready to Move,2,760,East,0,"₹ 45,00,000","Paschim Vihar, Delhi, Delhi",2 Bds - 2 Ba - 760 ft2
Apartments,1,1,Unfurnished,2820,New Launch,1,2820,North,3,"₹ 17,50,000","Rithala, Delhi, Delhi",1 Bds - 1 Ba - 2820 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,4,589,-,1,"₹ 33,00,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 589 ft2
Houses & Villas,-,-,-,445,-,2,445,-,-,"₹ 28,00,000","Chander Vihar, Delhi, Delhi",-
Builder Floors,4,4,Semi-Furnished,1550,Ready to Move,4,1600,West,1,"₹ 85,00,000","Uttam Nagar, Delhi, Delhi",4 Bds - 4 Ba - 1600 ft2
Builder Floors,3,2,Semi-Furnished,830,Ready to Move,4,850,East,0,"₹ 38,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 2 Ba - 850 ft2
Builder Floors,2,2,Semi-Furnished,500,Ready to Move,4,520,West,1,"₹ 29,50,000","Hastsal, Delhi, Delhi",2 Bds - 2 Ba - 520 ft2
Builder Floors,2,2,Semi-Furnished,545,Ready to Move,4,575,North-West,1,"₹ 35,00,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 575 ft2
Houses & Villas,3,3,Unfurnished,450,Ready to Move,2,900,East,0,"₹ 80,00,000","Adhyapak Nagar, Delhi, Delhi",3 Bds - 3 Ba - 900 ft2
Builder Floors,3,3,Semi-Furnished,750,Ready to Move,4,800,West,1,"₹ 45,00,000","Uttam Nagar, Delhi, Delhi",3 Bds - 3 Ba - 800 ft2
Builder Floors,1,1,Semi-Furnished,405,Ready to Move,4,445,East,0,"₹ 19,99,999","Uttam Nagar, Delhi, Delhi",1 Bds - 1 Ba - 445 ft2
Houses & Villas,4,3,Semi-Furnished,450,Ready to Move,4,540,East,-,"₹ 67,00,000","Kanwar Singh Nagar, Delhi, Delhi",4 Bds - 3 Ba - 540 ft2
Builder Floors,3,3,Unfurnished,25,Ready to Move,3,25,South,0,"₹ 35,00,000","Sultanpuri, Delhi, Delhi",3 Bds - 3 Ba - 25 ft2
Builder Floors,3,3,Semi-Furnished,1750,Ready to Move,3,1800,North-West,2,"₹ 2,40,00,000","Rajouri Garden, Delhi, Delhi",3 Bds - 3 Ba - 1800 ft2
Apartments,1,1,Unfurnished,500,Ready to Move,2,600,North-East,0,"₹ 40,00,000","Hari Nagar, Delhi, Delhi",1 Bds - 1 Ba - 600 ft2
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,585,-,1,"₹ 26,00,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 585 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,4,580,East,1,"₹ 23,00,000","Dwarka Mor, Delhi, Delhi",2 Bds - 2 Ba - 580 ft2
Builder Floors,1,1,Furnished,360,Ready to Move,4,401,East,1,"₹ 30,00,000","Hari Nagar, Delhi, Delhi",1 Bds - 1 Ba - 401 ft2
Apartments,1,1,Semi-Furnished,450,Ready to Move,4,450,-,0,"₹ 48,00,000","Shahpura, Delhi, Delhi",1 Bds - 1 Ba - 450 ft2
Builder Floors,2,1,Semi-Furnished,490,Ready to Move,4,500,South-West,1,"₹ 45,00,000","Hari Nagar, Delhi, Delhi",2 Bds - 1 Ba - 500 ft2
Houses & Villas,2,2,Unfurnished,450,New Launch,2,450,North,1,"₹ 50,00,000","Budh Vihar, Delhi, Delhi",2 Bds - 2 Ba - 450 ft2
Houses & Villas,1,2,Unfurnished,20,Ready to Move,2,200,North-West,0,"₹ 16,50,000","Nangloi, Delhi, Delhi",1 Bds - 2 Ba - 200 ft2
Builder Floors,3,2,Unfurnished,891,Ready to Move,4,899,East,1,"₹ 91,00,000","Chand Nagar, Delhi, Delhi",3 Bds - 2 Ba - 899 ft2
Builder Floors,2,2,Semi-Furnished,460,Ready to Move,4,500,-,-,"₹ 23,00,000","Nawada, Delhi, Delhi",2 Bds - 2 Ba - 500 ft2
Apartments,1,2,Semi-Furnished,24,Ready to Move,4,25,-,0,"₹ 72,00,000","Rajouri Garden, Delhi, Delhi",1 Bds - 2 Ba - 25 ft2
Builder Floors,3,3,Furnished,1200,Ready to Move,4,2200,North,1,"₹ 1,70,00,000","Pitampura, Delhi, Delhi",3 Bds - 3 Ba - 2200 ft2
Houses & Villas,4,4,Unfurnished,2700,Ready to Move,3,3000,North-East,2,"₹ 12,00,00,000","Rajouri Garden, Delhi, Delhi",4 Bds - 4 Ba - 3000 ft2
Builder Floors,1,-,Unfurnished,000000,Ready to Move,3,000000,-,-,"₹ 15,000","Rajouri Garden, Delhi, Delhi",-
Builder Floors,2,2,Semi-Furnished,550,Ready to Move,4,600,West,1,"₹ 26,00,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Builder Floors,2,2,Semi-Furnished,540,Ready to Move,4,600,East,1,"₹ 23,50,000","Uttam Nagar, Delhi, Delhi",2 Bds - 2 Ba - 600 ft2
Apartments,3,2,Semi-Furnished,1050,Ready to Move,2,1080,North-West,1,"₹ 98,00,000","Hari Nagar, Delhi, Delhi",3 Bds - 2 Ba - 1080 ft2
Builder Floors,4,4,Semi-Furnished,3000,New Launch,4,3080,East,3,"₹ 5,00,00,000","Rajouri Garden, Delhi, Delhi",4 Bds - 4 Ba - 3080 ft2
Houses & Villas,4,3,Semi-Furnished,700,Ready to Move,2,700,-,2,"₹ 74,00,000","Kamaruddin Nagar, Delhi, Delhi",4 Bds - 3 Ba - 700 ft2
Builder Floors,3,2,Unfurnished,250,Ready to Move,4,200,North,3,"₹ 40,00,000","Chander Vihar, Delhi, Delhi",3 Bds - 2 Ba - 200 ft2
